Lat,Long,EIRP
19.08,59.27,47
19.18,59.27,47
19.28,59.27,47
19.38,59.27,47
19.48,59.27,47
19.58,59.27,47
19.68,59.27,47
19.78,59.27,47
19.88,59.27,47
19.98,59.27,47
20.08,59.27,47
20.18,59.27,47
20.28,59.27,47
20.38,59.27,47
20.48,59.27,47
20.58,59.27,47
20.68,59.27,47
20.78,59.27,47
20.88,59.27,47
20.98,59.27,47
21.08,59.27,47
21.18,59.27,47
21.28,59.27,47
21.38,59.27,47
21.48,59.27,47
21.58,59.27,47
21.68,59.27,47
21.78,59.27,47
21.88,59.27,47
21.98,59.27,47
22.08,59.27,47
22.18,59.27,47
22.28,59.27,47
22.38,59.27,47
22.48,59.27,47
22.58,59.27,47
22.68,59.27,47
22.78,59.27,47
22.88,59.27,47
18.58,59.37,47
18.68,59.37,47
18.78,59.37,47
18.88,59.37,47
18.98,59.37,47
19.08,59.37,47
19.18,59.37,47
19.28,59.37,47
19.38,59.37,47
19.48,59.37,47
19.58,59.37,47
19.68,59.37,47
19.78,59.37,47
19.88,59.37,47
19.98,59.37,47
20.08,59.37,47
20.18,59.37,47
20.28,59.37,47
20.38,59.37,47
20.48,59.37,47
20.58,59.37,47
20.68,59.37,47
20.78,59.37,47
20.88,59.37,47
20.98,59.37,47
21.08,59.37,47
21.18,59.37,47
21.28,59.37,47
21.38,59.37,47
21.48,59.37,47
21.58,59.37,47
21.68,59.37,47
21.78,59.37,47
21.88,59.37,47
21.98,59.37,47
22.08,59.37,47
22.18,59.37,47
22.28,59.37,47
22.38,59.37,47
22.48,59.37,47
22.58,59.37,47
22.68,59.37,47
22.78,59.37,47
22.88,59.37,47
22.98,59.37,47
23.08,59.37,47
23.18,59.37,47
18.18,59.47,47
18.28,59.47,47
18.38,59.47,47
18.48,59.47,47
18.58,59.47,47
18.68,59.47,47
18.78,59.47,47
18.88,59.47,47
18.98,59.47,47
19.08,59.47,47
19.18,59.47,47
19.28,59.47,47
19.38,59.47,47
19.48,59.47,47
19.58,59.47,47
19.68,59.47,47
19.78,59.47,47
19.88,59.47,47
19.98,59.47,47
20.08,59.47,47
20.18,59.47,47
20.28,59.47,47
20.38,59.47,47
20.48,59.47,47
20.58,59.47,47
20.68,59.47,47
20.78,59.47,47
20.88,59.47,47
20.98,59.47,47
21.08,59.47,47
21.18,59.47,47
21.28,59.47,47
21.38,59.47,47
21.48,59.47,47
21.58,59.47,47
21.68,59.47,47
21.78,59.47,47
21.88,59.47,47
21.98,59.47,47
22.08,59.47,47
22.18,59.47,47
22.28,59.47,47
22.38,59.47,47
22.48,59.47,47
22.58,59.47,47
22.68,59.47,47
22.78,59.47,47
22.88,59.47,47
22.98,59.47,47
23.08,59.47,47
23.18,59.47,47
23.28,59.47,47
23.38,59.47,47
17.88,59.57,47
17.98,59.57,47
18.08,59.57,47
18.18,59.57,47
18.28,59.57,47
18.38,59.57,47
18.48,59.57,47
18.58,59.57,47
18.68,59.57,47
18.78,59.57,47
18.88,59.57,47
18.98,59.57,47
19.08,59.57,47
19.18,59.57,47
19.28,59.57,47
19.38,59.57,47
19.48,59.57,47
19.58,59.57,47
19.68,59.57,47
19.78,59.57,47
19.88,59.57,47
19.98,59.57,47
20.08,59.57,47
20.18,59.57,47
20.28,59.57,47
20.38,59.57,47
20.48,59.57,47
20.58,59.57,47
20.68,59.57,47
20.78,59.57,47
20.88,59.57,47
20.98,59.57,47
21.08,59.57,47
21.18,59.57,47
21.28,59.57,47
21.38,59.57,47
21.48,59.57,47
21.58,59.57,47
21.68,59.57,47
21.78,59.57,47
21.88,59.57,47
21.98,59.57,47
22.08,59.57,47
22.18,59.57,47
22.28,59.57,47
22.38,59.57,47
22.48,59.57,47
22.58,59.57,47
22.68,59.57,47
22.78,59.57,47
22.88,59.57,47
22.98,59.57,47
23.08,59.57,47
23.18,59.57,47
23.28,59.57,47
23.38,59.57,47
23.48,59.57,47
23.58,59.57,47
17.68,59.67,47
17.78,59.67,47
17.88,59.67,47
17.98,59.67,47
18.08,59.67,47
18.18,59.67,47
18.28,59.67,47
18.38,59.67,47
18.48,59.67,47
18.58,59.67,47
18.68,59.67,47
18.78,59.67,47
18.88,59.67,47
18.98,59.67,47
19.08,59.67,47
19.18,59.67,47
19.28,59.67,47
19.38,59.67,47
19.48,59.67,47
19.58,59.67,47
19.68,59.67,47
19.78,59.67,47
19.88,59.67,47
19.98,59.67,47
20.08,59.67,47
20.18,59.67,47
20.28,59.67,47
20.38,59.67,47
20.48,59.67,47
20.58,59.67,47
20.68,59.67,47
20.78,59.67,47
20.88,59.67,47
20.98,59.67,47
21.08,59.67,47
21.18,59.67,47
21.28,59.67,47
21.38,59.67,47
21.48,59.67,47
21.58,59.67,47
21.68,59.67,47
21.78,59.67,47
21.88,59.67,47
21.98,59.67,47
22.08,59.67,47
22.18,59.67,47
22.28,59.67,47
22.38,59.67,47
22.48,59.67,47
22.58,59.67,47
22.68,59.67,47
22.78,59.67,47
22.88,59.67,47
22.98,59.67,47
23.08,59.67,47
23.18,59.67,47
23.28,59.67,47
23.38,59.67,47
23.48,59.67,47
23.58,59.67,47
23.68,59.67,47
23.78,59.67,47
23.88,59.67,47
17.38,59.77,47
17.48,59.77,47
17.58,59.77,47
17.68,59.77,47
17.78,59.77,47
17.88,59.77,47
17.98,59.77,47
18.08,59.77,47
18.18,59.77,47
18.28,59.77,47
18.38,59.77,47
18.48,59.77,47
18.58,59.77,47
18.68,59.77,47
18.78,59.77,47
18.88,59.77,47
18.98,59.77,47
19.08,59.77,47
19.18,59.77,47
19.28,59.77,47
19.38,59.77,47
19.48,59.77,47
19.58,59.77,47
19.68,59.77,47
19.78,59.77,47
19.88,59.77,47
19.98,59.77,47
20.08,59.77,47
20.18,59.77,47
20.28,59.77,47
20.38,59.77,47
20.48,59.77,47
20.58,59.77,47
20.68,59.77,47
20.78,59.77,47
20.88,59.77,47
20.98,59.77,47
21.08,59.77,47
21.18,59.77,47
21.28,59.77,47
21.38,59.77,47
21.48,59.77,47
21.58,59.77,47
21.68,59.77,47
21.78,59.77,47
21.88,59.77,47
21.98,59.77,47
22.08,59.77,47
22.18,59.77,47
22.28,59.77,47
22.38,59.77,47
22.48,59.77,47
22.58,59.77,47
22.68,59.77,47
22.78,59.77,47
22.88,59.77,47
22.98,59.77,47
23.08,59.77,47
23.18,59.77,47
23.28,59.77,47
23.38,59.77,47
23.48,59.77,47
23.58,59.77,47
23.68,59.77,47
23.78,59.77,47
23.88,59.77,47
23.98,59.77,47
24.08,59.77,47
17.18,59.87,47
17.28,59.87,47
17.38,59.87,47
17.48,59.87,47
17.58,59.87,47
17.68,59.87,47
17.78,59.87,47
17.88,59.87,47
