lat,long,eirp_dbw
7.79,114.72,54.8
7.89,114.72,54.8
7.99,114.72,54.8
8.09,114.72,54.8
8.19,114.72,54.8
7.59,114.82,54.8
7.69,114.82,54.8
7.79,114.82,54.8
7.89,114.82,54.8
7.99,114.82,54.8
8.09,114.82,54.8
8.19,114.82,54.8
8.29,114.82,54.8
8.39,114.82,54.8
8.49,114.82,54.8
7.39,114.92,54.8
7.49,114.92,54.8
7.59,114.92,54.8
7.69,114.92,54.8
7.79,114.92,54.8
7.89,114.92,54.8
7.99,114.92,54.8
8.09,114.92,54.8
8.19,114.92,54.8
8.29,114.92,54.8
8.39,114.92,54.8
8.49,114.92,54.8
8.59,114.92,54.8
8.69,114.92,54.8
8.79,114.92,54.8
7.09,115.02,54.8
7.19,115.02,54.8
7.29,115.02,54.8
7.39,115.02,54.8
7.49,115.02,54.8
7.59,115.02,54.8
7.69,115.02,54.8
7.79,115.02,54.8
7.89,115.02,54.8
7.99,115.02,54.8
8.09,115.02,54.8
8.19,115.02,54.8
8.29,115.02,54.8
8.39,115.02,54.8
8.49,115.02,54.8
8.59,115.02,54.8
8.69,115.02,54.8
8.79,115.02,54.8
8.89,115.02,54.8
8.99,115.02,54.8
6.89,115.12,54.8
6.99,115.12,54.8
7.09,115.12,54.8
7.19,115.12,54.8
7.29,115.12,54.8
7.39,115.12,54.8
7.49,115.12,54.8
7.59,115.12,54.8
7.69,115.12,54.8
7.79,115.12,54.8
7.89,115.12,54.8
7.99,115.12,54.8
8.09,115.12,54.8
8.19,115.12,54.8
8.29,115.12,54.8
8.39,115.12,54.8
8.49,115.12,54.8
8.59,115.12,54.8
8.69,115.12,54.8
8.79,115.12,54.8
8.89,115.12,54.8
8.99,115.12,54.8
9.09,115.12,54.8
9.19,115.12,54.8
9.29,115.12,54.8
6.69,115.22,54.8
6.79,115.22,54.8
6.89,115.22,54.8
6.99,115.22,54.8
7.09,115.22,54.8
7.19,115.22,54.8
7.29,115.22,54.8
7.39,115.22,54.8
7.49,115.22,54.8
7.59,115.22,54.8
7.69,115.22,54.8
7.79,115.22,54.8
7.89,115.22,54.8
7.99,115.22,54.8
8.09,115.22,54.8
8.19,115.22,54.8
8.29,115.22,54.8
8.39,115.22,54.8
8.49,115.22,54.8
8.59,115.22,54.8
8.69,115.22,54.8
8.79,115.22,54.8
8.89,115.22,54.8
8.99,115.22,54.8
9.09,115.22,54.8
9.19,115.22,54.8
9.29,115.22,54.8
9.39,115.22,54.8
9.49,115.22,54.8
9.59,115.22,54.8
6.49,115.32,54.8
6.59,115.32,54.8
6.69,115.32,54.8
